"","id","date","tavg"
"104","RSM00028661",2002-04-14,49
"105","RSM00028661",2002-04-15,61
"106","RSM00028661",2002-04-16,62
"107","RSM00028661",2002-04-17,53
"108","RSM00028661",2002-04-18,-6
"109","RSM00028661",2002-04-19,-21
"110","RSM00028661",2002-04-20,22
"111","RSM00028661",2002-04-21,49
"112","RSM00028661",2002-04-22,54
"113","RSM00028661",2002-04-23,74
"114","RSM00028661",2002-04-24,74
"115","RSM00028661",2002-04-25,81
"116","RSM00028661",2002-04-26,81
"117","RSM00028661",2002-04-27,68
"118","RSM00028661",2002-04-28,93
"119","RSM00028661",2002-04-29,108
"120","RSM00028661",2002-04-30,104
"121","RSM00028661",2002-05-01,82
"122","RSM00028661",2002-05-02,112
"123","RSM00028661",2002-05-03,134
"124","RSM00028661",2002-05-04,140
"125","RSM00028661",2002-05-05,146
"126","RSM00028661",2002-05-06,183
"127","RSM00028661",2002-05-07,187
"128","RSM00028661",2002-05-08,47
"129","RSM00028661",2002-05-09,75
"130","RSM00028661",2002-05-10,127
"131","RSM00028661",2002-05-11,107
"132","RSM00028661",2002-05-12,105
"133","RSM00028661",2002-05-13,74
"134","RSM00028661",2002-05-14,56
"135","RSM00028661",2002-05-15,15
"136","RSM00028661",2002-05-16,69
"137","RSM00028661",2002-05-17,147
"138","RSM00028661",2002-05-18,179
"139","RSM00028661",2002-05-19,192
"140","RSM00028661",2002-05-20,210
"141","RSM00028661",2002-05-21,188
"142","RSM00028661",2002-05-22,107
"143","RSM00028661",2002-05-23,61
"144","RSM00028661",2002-05-24,63
"145","RSM00028661",2002-05-25,136
"146","RSM00028661",2002-05-26,149
"147","RSM00028661",2002-05-27,81
"148","RSM00028661",2002-05-28,79
"149","RSM00028661",2002-05-29,88
"150","RSM00028661",2002-05-30,60
"151","RSM00028661",2002-05-31,73
"152","RSM00028661",2002-06-01,77
"153","RSM00028661",2002-06-02,100
"154","RSM00028661",2002-06-03,114
"155","RSM00028661",2002-06-04,136
"156","RSM00028661",2002-06-05,138
"157","RSM00028661",2002-06-06,117
"158","RSM00028661",2002-06-07,134
"159","RSM00028661",2002-06-08,159
"160","RSM00028661",2002-06-09,133
"161","RSM00028661",2002-06-10,127
"162","RSM00028661",2002-06-11,125
"163","RSM00028661",2002-06-12,125
"164","RSM00028661",2002-06-13,129
"165","RSM00028661",2002-06-14,165
"166","RSM00028661",2002-06-15,203
"167","RSM00028661",2002-06-16,208
"168","RSM00028661",2002-06-17,223
"169","RSM00028661",2002-06-18,204
"170","RSM00028661",2002-06-19,196
"171","RSM00028661",2002-06-20,185
"172","RSM00028661",2002-06-21,195
"173","RSM00028661",2002-06-22,180
"174","RSM00028661",2002-06-23,190
"175","RSM00028661",2002-06-24,208
"176","RSM00028661",2002-06-25,171
"177","RSM00028661",2002-06-26,154
"178","RSM00028661",2002-06-27,133
"179","RSM00028661",2002-06-28,141
"180","RSM00028661",2002-06-29,122
"181","RSM00028661",2002-06-30,115
"182","RSM00028661",2002-07-01,135
"183","RSM00028661",2002-07-02,184
"184","RSM00028661",2002-07-03,192
"185","RSM00028661",2002-07-04,218
"186","RSM00028661",2002-07-05,234
"187","RSM00028661",2002-07-06,246
"188","RSM00028661",2002-07-07,226
"189","RSM00028661",2002-07-08,211
"190","RSM00028661",2002-07-09,235
"191","RSM00028661",2002-07-10,216
"192","RSM00028661",2002-07-11,208
"193","RSM00028661",2002-07-12,190
"194","RSM00028661",2002-07-13,136
"195","RSM00028661",2002-07-14,128
"196","RSM00028661",2002-07-15,148
"197","RSM00028661",2002-07-16,121
"198","RSM00028661",2002-07-17,150
"199","RSM00028661",2002-07-18,184
"200","RSM00028661",2002-07-19,165
"201","RSM00028661",2002-07-20,128
"202","RSM00028661",2002-07-21,125
"203","RSM00028661",2002-07-22,128
"204","RSM00028661",2002-07-23,167
"205","RSM00028661",2002-07-24,214
"206","RSM00028661",2002-07-25,210
"207","RSM00028661",2002-07-26,228
"208","RSM00028661",2002-07-27,243
"209","RSM00028661",2002-07-28,250
"210","RSM00028661",2002-07-29,218
"211","RSM00028661",2002-07-30,182
"212","RSM00028661",2002-07-31,209
"213","RSM00028661",2002-08-01,200
"214","RSM00028661",2002-08-02,181
"215","RSM00028661",2002-08-03,201
"216","RSM00028661",2002-08-04,182
"217","RSM00028661",2002-08-05,157
"218","RSM00028661",2002-08-06,167
"219","RSM00028661",2002-08-07,145
"220","RSM00028661",2002-08-08,150
"221","RSM00028661",2002-08-09,158
"222","RSM00028661",2002-08-10,159
"223","RSM00028661",2002-08-11,119
"224","RSM00028661",2002-08-12,137
"225","RSM00028661",2002-08-13,163
"226","RSM00028661",2002-08-14,135
"227","RSM00028661",2002-08-15,125
"228","RSM00028661",2002-08-16,124
"229","RSM00028661",2002-08-17,142
"230","RSM00028661",2002-08-18,166
"231","RSM00028661",2002-08-19,150
"232","RSM00028661",2002-08-20,116
"233","RSM00028661",2002-08-21,97
"234","RSM00028661",2002-08-22,116
"235","RSM00028661",2002-08-23,125
"236","RSM00028661",2002-08-24,133
"237","RSM00028661",2002-08-25,125
"238","RSM00028661",2002-08-26,127
"239","RSM00028661",2002-08-27,131
"240","RSM00028661",2002-08-28,134
"241","RSM00028661",2002-08-29,137
"242","RSM00028661",2002-08-30,147
"243","RSM00028661",2002-08-31,163
"244","RSM00028661",2002-09-01,164
"245","RSM00028661",2002-09-02,178
"246","RSM00028661",2002-09-03,164
"247","RSM00028661",2002-09-04,120
"248","RSM00028661",2002-09-05,94
"249","RSM00028661",2002-09-06,104
"250","RSM00028661",2002-09-07,133
"251","RSM00028661",2002-09-08,154
"252","RSM00028661",2002-09-09,157
"253","RSM00028661",2002-09-10,174
"254","RSM00028661",2002-09-11,190
"255","RSM00028661",2002-09-12,168
"256","RSM00028661",2002-09-13,52
"257","RSM00028661",2002-09-14,48
"258","RSM00028661",2002-09-15,76
"259","RSM00028661",2002-09-16,99
"260","RSM00028661",2002-09-17,146
"261","RSM00028661",2002-09-18,165
"262","RSM00028661",2002-09-19,182
"263","RSM00028661",2002-09-20,140
"264","RSM00028661",2002-09-21,113
"265","RSM00028661",2002-09-22,88
"266","RSM00028661",2002-09-23,73
"267","RSM00028661",2002-09-24,134
"268","RSM00028661",2002-09-25,146
"269","RSM00028661",2002-09-26,57
"270","RSM00028661",2002-09-27,73
"271","RSM00028661",2002-09-28,92
"272","RSM00028661",2002-09-29,108
"273","RSM00028661",2002-09-30,82
"274","RSM00028661",2002-10-01,67
"275","RSM00028661",2002-10-02,37
"276","RSM00028661",2002-10-03,123
"277","RSM00028661",2002-10-04,74
"278","RSM00028661",2002-10-05,15
"279","RSM00028661",2002-10-06,21
"280","RSM00028661",2002-10-07,33
"281","RSM00028661",2002-10-08,24
"282","RSM00028661",2002-10-09,8
"283","RSM00028661",2002-10-10,22
"284","RSM00028661",2002-10-11,24
"285","RSM00028661",2002-10-12,12
"286","RSM00028661",2002-10-13,-16
"287","RSM00028661",2002-10-14,-47
"288","RSM00028661",2002-10-15,-47
"289","RSM00028661",2002-10-16,7
"290","RSM00028661",2002-10-17,0
"291","RSM00028661",2002-10-18,-7
"292","RSM00028661",2002-10-19,14
"293","RSM00028661",2002-10-20,88
"294","RSM00028661",2002-10-21,109
"295","RSM00028661",2002-10-22,101
"296","RSM00028661",2002-10-23,47
"297","RSM00028661",2002-10-24,-2
"298","RSM00028661",2002-10-25,37
"299","RSM00028661",2002-10-26,42
"300","RSM00028661",2002-10-27,57
"301","RSM00028661",2002-10-28,64
"302","RSM00028661",2002-10-29,44
"303","RSM00028661",2002-10-30,53
"304","RSM00028661",2002-10-31,71
"305","RSM00028661",2002-11-01,40
"306","RSM00028661",2002-11-02,14
"307","RSM00028661",2002-11-03,7
"308","RSM00028661",2002-11-04,15
"309","RSM00028661",2002-11-05,17
"310","RSM00028661",2002-11-06,-20
"311","RSM00028661",2002-11-07,-57
"312","RSM00028661",2002-11-08,-39
"313","RSM00028661",2002-11-09,-32
"314","RSM00028661",2002-11-10,-13
"315","RSM00028661",2002-11-11,-22
"316","RSM00028661",2002-11-12,-17
"317","RSM00028661",2002-11-13,1
"318","RSM00028661",2002-11-14,-11
"319","RSM00028661",2002-11-15,-61
"320","RSM00028661",2002-11-16,-36
"321","RSM00028661",2002-11-17,2
"322","RSM00028661",2002-11-18,-5
"323","RSM00028661",2002-11-19,-40
"324","RSM00028661",2002-11-20,-25
"325","RSM00028661",2002-11-21,-25
"326","RSM00028661",2002-11-22,1
"327","RSM00028661",2002-11-23,4
"328","RSM00028661",2002-11-24,12
"329","RSM00028661",2002-11-25,-29
"330","RSM00028661",2002-11-26,-114
"331","RSM00028661",2002-11-27,-89
"332","RSM00028661",2002-11-28,-67
"333","RSM00028661",2002-11-29,-167
"334","RSM00028661",2002-11-30,-208
"335","RSM00028661",2002-12-01,-298
"336","RSM00028661",2002-12-02,-192
"337","RSM00028661",2002-12-03,-142
"338","RSM00028661",2002-12-04,-132
"339","RSM00028661",2002-12-05,-193
"340","RSM00028661",2002-12-06,-175
"341","RSM00028661",2002-12-07,-130
"342","RSM00028661",2002-12-08,-253
"343","RSM00028661",2002-12-09,-310
"344","RSM00028661",2002-12-10,-298
"345","RSM00028661",2002-12-11,-187
"346","RSM00028661",2002-12-12,-208
"347","RSM00028661",2002-12-13,-200
"348","RSM00028661",2002-12-14,-206
"349","RSM00028661",2002-12-15,-154
"350","RSM00028661",2002-12-16,-105
"351","RSM00028661",2002-12-17,-88
"352","RSM00028661",2002-12-18,-146
"353","RSM00028661",2002-12-19,-195
"354","RSM00028661",2002-12-20,-225
"355","RSM00028661",2002-12-21,-227
"356","RSM00028661",2002-12-22,-203
"357","RSM00028661",2002-12-23,-154
"358","RSM00028661",2002-12-24,-172
"359","RSM00028661",2002-12-25,-145
"360","RSM00028661",2002-12-26,-87
"361","RSM00028661",2002-12-27,-205
"362","RSM00028661",2002-12-28,-264
"363","RSM00028661",2002-12-29,-330
"364","RSM00028661",2002-12-30,-348
"365","RSM00028661",2002-12-31,-220
"366","RSM00028661",2003-01-01,-111
"367","RSM00028661",2003-01-02,-139
"368","RSM00028661",2003-01-03,-171
"369","RSM00028661",2003-01-04,-138
"370","RSM00028661",2003-01-05,-102
"371","RSM00028661",2003-01-06,-70
"372","RSM00028661",2003-01-07,-80
"373","RSM00028661",2003-01-08,-59
"374","RSM00028661",2003-01-09,-217
"375","RSM00028661",2003-01-10,-197
"376","RSM00028661",2003-01-11,-197
"377","RSM00028661",2003-01-12,-124
"378","RSM00028661",2003-01-13,-223
"379","RSM00028661",2003-01-14,-217
"380","RSM00028661",2003-01-15,-148
"381","RSM00028661",2003-01-16,-139
"382","RSM00028661",2003-01-17,-51
"383","RSM00028661",2003-01-18,-14
"384","RSM00028661",2003-01-19,-92
"385","RSM00028661",2003-01-20,-35
"386","RSM00028661",2003-01-21,-76
"387","RSM00028661",2003-01-22,-199
"388","RSM00028661",2003-01-23,-237
"389","RSM00028661",2003-01-24,-190
"390","RSM00028661",2003-01-25,-177
"391","RSM00028661",2003-01-26,-200
"392","RSM00028661",2003-01-27,-174
"393","RSM00028661",2003-01-28,-170
"394","RSM00028661",2003-01-29,-137
"395","RSM00028661",2003-01-30,-127
"396","RSM00028661",2003-01-31,-75
"397","RSM00028661",2003-02-01,-32
"398","RSM00028661",2003-02-02,-52
"399","RSM00028661",2003-02-03,-50
"400","RSM00028661",2003-02-04,-105
"401","RSM00028661",2003-02-05,-141
"402","RSM00028661",2003-02-06,-151
"403","RSM00028661",2003-02-07,-212
"404","RSM00028661",2003-02-08,-268
"405","RSM00028661",2003-02-09,-250
"406","RSM00028661",2003-02-10,-204
"407","RSM00028661",2003-02-11,-205
"408","RSM00028661",2003-02-12,-219
"409","RSM00028661",2003-02-13,-190
"410","RSM00028661",2003-02-14,-185
"411","RSM00028661",2003-02-15,-149
"412","RSM00028661",2003-02-16,-208
"413","RSM00028661",2003-02-17,-286
"414","RSM00028661",2003-02-18,-250
"415","RSM00028661",2003-02-19,-163
"416","RSM00028661",2003-02-20,-161
"417","RSM00028661",2003-02-21,-189
"418","RSM00028661",2003-02-22,-125
"419","RSM00028661",2003-02-23,-53
"420","RSM00028661",2003-02-24,-124
"421","RSM00028661",2003-02-25,-135
"422","RSM00028661",2003-02-26,-79
"423","RSM00028661",2003-02-27,-150
"424","RSM00028661",2003-02-28,-179
"425","RSM00028661",2003-03-01,-101
"426","RSM00028661",2003-03-02,-103
"427","RSM00028661",2003-03-03,-101
"428","RSM00028661",2003-03-04,-129
"429","RSM00028661",2003-03-05,-137
"430","RSM00028661",2003-03-06,-136
"431","RSM00028661",2003-03-07,-126
"432","RSM00028661",2003-03-08,-137
"433","RSM00028661",2003-03-09,-79
"434","RSM00028661",2003-03-10,-51
"435","RSM00028661",2003-03-11,-69
"436","RSM00028661",2003-03-12,-71
"437","RSM00028661",2003-03-13,-77
"438","RSM00028661",2003-03-14,-115
"439","RSM00028661",2003-03-15,-102
"440","RSM00028661",2003-03-16,-87
"441","RSM00028661",2003-03-17,-109
"442","RSM00028661",2003-03-18,-61
"443","RSM00028661",2003-03-19,-96
"444","RSM00028661",2003-03-20,-65
"445","RSM00028661",2003-03-21,-57
"446","RSM00028661",2003-03-22,-73
"447","RSM00028661",2003-03-23,-50
"448","RSM00028661",2003-03-24,-32
"449","RSM00028661",2003-03-25,-70
"450","RSM00028661",2003-03-26,-39
"451","RSM00028661",2003-03-27,-70
"452","RSM00028661",2003-03-28,-49
"453","RSM00028661",2003-03-29,-15
"454","RSM00028661",2003-03-30,-1
"455","RSM00028661",2003-03-31,-31
"456","RSM00028661",2003-04-01,0
"457","RSM00028661",2003-04-02,13
"458","RSM00028661",2003-04-03,5
"459","RSM00028661",2003-04-04,-13
"460","RSM00028661",2003-04-05,-22
"461","RSM00028661",2003-04-06,0
"462","RSM00028661",2003-04-07,15
"463","RSM00028661",2003-04-08,14
"464","RSM00028661",2003-04-09,41
"465","RSM00028661",2003-04-10,38
"466","RSM00028661",2003-04-11,40
"467","RSM00028661",2003-04-12,47
"468","RSM00028661",2003-04-13,-19
"469","RSM00028661",2003-04-14,-33
"470","RSM00028661",2003-04-15,-25
"471","RSM00028661",2003-04-16,-6
"472","RSM00028661",2003-04-17,12
"473","RSM00028661",2003-04-18,49
"474","RSM00028661",2003-04-19,53
"475","RSM00028661",2003-04-20,63
"476","RSM00028661",2003-04-21,90
"477","RSM00028661",2003-04-22,103
"478","RSM00028661",2003-04-23,110
"479","RSM00028661",2003-04-24,103
"480","RSM00028661",2003-04-25,84
"481","RSM00028661",2003-04-26,133
"482","RSM00028661",2003-04-27,125
"483","RSM00028661",2003-04-28,18
"484","RSM00028661",2003-04-29,29
"485","RSM00028661",2003-04-30,78
"486","RSM00028661",2003-05-01,86
"487","RSM00028661",2003-05-02,82
"488","RSM00028661",2003-05-03,99
"489","RSM00028661",2003-05-04,92
"490","RSM00028661",2003-05-05,97
"491","RSM00028661",2003-05-06,109
"492","RSM00028661",2003-05-07,125
"493","RSM00028661",2003-05-08,139
"494","RSM00028661",2003-05-09,194
"495","RSM00028661",2003-05-10,197
"496","RSM00028661",2003-05-11,187
"497","RSM00028661",2003-05-12,181
"498","RSM00028661",2003-05-13,204
"499","RSM00028661",2003-05-14,199
"500","RSM00028661",2003-05-15,111
"501","RSM00028661",2003-05-16,132
"502","RSM00028661",2003-05-17,168
"503","RSM00028661",2003-05-18,172
"504","RSM00028661",2003-05-19,175
"505","RSM00028661",2003-05-20,153
"506","RSM00028661",2003-05-21,143
"507","RSM00028661",2003-05-22,158
"508","RSM00028661",2003-05-23,183
"509","RSM00028661",2003-05-24,212
"510","RSM00028661",2003-05-25,179
"511","RSM00028661",2003-05-26,154
"512","RSM00028661",2003-05-27,102
"513","RSM00028661",2003-05-28,105
"514","RSM00028661",2003-05-29,148
"515","RSM00028661",2003-05-30,162
"516","RSM00028661",2003-05-31,165
"517","RSM00028661",2003-06-01,114
"518","RSM00028661",2003-06-02,162
"519","RSM00028661",2003-06-03,184
"520","RSM00028661",2003-06-04,197
"521","RSM00028661",2003-06-05,140
"522","RSM00028661",2003-06-06,138
"523","RSM00028661",2003-06-07,108
"524","RSM00028661",2003-06-08,112
"525","RSM00028661",2003-06-09,94
"526","RSM00028661",2003-06-10,132
"527","RSM00028661",2003-06-11,170
"528","RSM00028661",2003-06-12,177
"529","RSM00028661",2003-06-13,143
"530","RSM00028661",2003-06-14,138
"531","RSM00028661",2003-06-15,187
"532","RSM00028661",2003-06-16,154
"533","RSM00028661",2003-06-17,160
"534","RSM00028661",2003-06-18,163
"535","RSM00028661",2003-06-19,200
"536","RSM00028661",2003-06-20,176
"537","RSM00028661",2003-06-21,149
"538","RSM00028661",2003-06-22,157
"539","RSM00028661",2003-06-23,196
"540","RSM00028661",2003-06-24,199
"541","RSM00028661",2003-06-25,214
"542","RSM00028661",2003-06-26,233
"543","RSM00028661",2003-06-27,235
"544","RSM00028661",2003-06-28,219
"545","RSM00028661",2003-06-29,217
"546","RSM00028661",2003-06-30,231
"547","RSM00028661",2003-07-01,236
"548","RSM00028661",2003-07-02,231
"549","RSM00028661",2003-07-03,219
"550","RSM00028661",2003-07-04,196
"551","RSM00028661",2003-07-05,218
"552","RSM00028661",2003-07-06,235
"553","RSM00028661",2003-07-07,229
"554","RSM00028661",2003-07-08,219
"555","RSM00028661",2003-07-09,237
"556","RSM00028661",2003-07-10,184
"557","RSM00028661",2003-07-11,160
"558","RSM00028661",2003-07-12,154
"559","RSM00028661",2003-07-13,164
"560","RSM00028661",2003-07-14,162
"561","RSM00028661",2003-07-15,141
"562","RSM00028661",2003-07-16,151
"563","RSM00028661",2003-07-17,177
"564","RSM00028661",2003-07-18,187
"565","RSM00028661",2003-07-19,216
"566","RSM00028661",2003-07-20,163
"567","RSM00028661",2003-07-21,125
"568","RSM00028661",2003-07-22,139
"569","RSM00028661",2003-07-23,173
"570","RSM00028661",2003-07-24,147
"571","RSM00028661",2003-07-25,175
"572","RSM00028661",2003-07-26,175
"573","RSM00028661",2003-07-27,180
"574","RSM00028661",2003-07-28,204
"575","RSM00028661",2003-07-29,207
"576","RSM00028661",2003-07-30,166
"577","RSM00028661",2003-07-31,152
"578","RSM00028661",2003-08-01,178
"579","RSM00028661",2003-08-02,178
"580","RSM00028661",2003-08-03,187
"581","RSM00028661",2003-08-04,204
"582","RSM00028661",2003-08-05,217
"583","RSM00028661",2003-08-06,233
"584","RSM00028661",2003-08-07,245
"585","RSM00028661",2003-08-08,266
"586","RSM00028661",2003-08-09,240
"587","RSM00028661",2003-08-10,258
"588","RSM00028661",2003-08-11,262
"589","RSM00028661",2003-08-12,260
"590","RSM00028661",2003-08-13,249
"591","RSM00028661",2003-08-14,253
"592","RSM00028661",2003-08-15,213
"593","RSM00028661",2003-08-16,211
"594","RSM00028661",2003-08-17,205
"595","RSM00028661",2003-08-18,226
"596","RSM00028661",2003-08-19,215
"597","RSM00028661",2003-08-20,231
"598","RSM00028661",2003-08-21,245
"599","RSM00028661",2003-08-22,232
"600","RSM00028661",2003-08-23,206
"601","RSM00028661",2003-08-24,199
"602","RSM00028661",2003-08-25,211
"603","RSM00028661",2003-08-26,219
"604","RSM00028661",2003-08-27,231
"605","RSM00028661",2003-08-28,246
"606","RSM00028661",2003-08-29,228
"607","RSM00028661",2003-08-30,191
"608","RSM00028661",2003-08-31,153
"609","RSM00028661",2003-09-01,206
"610","RSM00028661",2003-09-02,208
"611","RSM00028661",2003-09-03,227
"612","RSM00028661",2003-09-04,231
"613","RSM00028661",2003-09-05,153
"614","RSM00028661",2003-09-06,199
"615","RSM00028661",2003-09-07,269
"616","RSM00028661",2003-09-08,175
"617","RSM00028661",2003-09-09,140
"618","RSM00028661",2003-09-10,102
"619","RSM00028661",2003-09-11,88
"620","RSM00028661",2003-09-12,86
"621","RSM00028661",2003-09-13,80
"622","RSM00028661",2003-09-14,106
"623","RSM00028661",2003-09-15,95
"624","RSM00028661",2003-09-16,123
"625","RSM00028661",2003-09-17,151
"626","RSM00028661",2003-09-18,145
"627","RSM00028661",2003-09-19,129
"628","RSM00028661",2003-09-20,128
"629","RSM00028661",2003-09-21,131
"630","RSM00028661",2003-09-22,53
"631","RSM00028661",2003-09-23,49
"632","RSM00028661",2003-09-24,61
"633","RSM00028661",2003-09-25,45
"634","RSM00028661",2003-09-26,72
"635","RSM00028661",2003-09-27,103
"636","RSM00028661",2003-09-28,72
"637","RSM00028661",2003-09-29,48
"638","RSM00028661",2003-09-30,79
"639","RSM00028661",2003-10-01,99
"640","RSM00028661",2003-10-02,109
"641","RSM00028661",2003-10-03,103
"642","RSM00028661",2003-10-04,85
"643","RSM00028661",2003-10-05,70
"644","RSM00028661",2003-10-06,74
"645","RSM00028661",2003-10-07,35
"646","RSM00028661",2003-10-08,84
"647","RSM00028661",2003-10-09,106
"648","RSM00028661",2003-10-10,85
"649","RSM00028661",2003-10-11,82
"650","RSM00028661",2003-10-12,79
"651","RSM00028661",2003-10-13,40
"652","RSM00028661",2003-10-14,32
"653","RSM00028661",2003-10-15,39
"654","RSM00028661",2003-10-16,68
"655","RSM00028661",2003-10-17,41
"656","RSM00028661",2003-10-18,43
"657","RSM00028661",2003-10-19,35
"658","RSM00028661",2003-10-20,26
"659","RSM00028661",2003-10-21,17
"660","RSM00028661",2003-10-22,37
"661","RSM00028661",2003-10-23,53
"662","RSM00028661",2003-10-24,-25
"663","RSM00028661",2003-10-25,-42
"664","RSM00028661",2003-10-26,-5
"665","RSM00028661",2003-10-27,-23
"666","RSM00028661",2003-10-28,-43
"667","RSM00028661",2003-10-29,-11
"668","RSM00028661",2003-10-30,-9
"669","RSM00028661",2003-10-31,-9
"670","RSM00028661",2003-11-01,-4
"671","RSM00028661",2003-11-02,-7
"672","RSM00028661",2003-11-03,-69
"673","RSM00028661",2003-11-04,-74
"674","RSM00028661",2003-11-05,-91
"675","RSM00028661",2003-11-06,-44
"676","RSM00028661",2003-11-07,-36
"677","RSM00028661",2003-11-08,-28
"678","RSM00028661",2003-11-09,-53
"679","RSM00028661",2003-11-10,-43
"680","RSM00028661",2003-11-11,-5
"681","RSM00028661",2003-11-12,-51
"682","RSM00028661",2003-11-13,-60
"683","RSM00028661",2003-11-14,-38
"684","RSM00028661",2003-11-15,-97
"685","RSM00028661",2003-11-16,-104
"686","RSM00028661",2003-11-17,-131
"687","RSM00028661",2003-11-18,-142
"688","RSM00028661",2003-11-19,-80
"689","RSM00028661",2003-11-20,-85
"690","RSM00028661",2003-11-21,-152
"691","RSM00028661",2003-11-22,-129
"692","RSM00028661",2003-11-23,-89
"693","RSM00028661",2003-11-24,-117
"694","RSM00028661",2003-11-25,-187
"695","RSM00028661",2003-11-26,-116
"696","RSM00028661",2003-11-27,-63
"697","RSM00028661",2003-11-28,-129
"698","RSM00028661",2003-11-29,-91
"699","RSM00028661",2003-11-30,-67
"700","RSM00028661",2003-12-01,-30
"701","RSM00028661",2003-12-02,-88
"702","RSM00028661",2003-12-03,-29
"703","RSM00028661",2003-12-04,-20
"704","RSM00028661",2003-12-05,-45
"705","RSM00028661",2003-12-06,-89
"706","RSM00028661",2003-12-07,-22
"707","RSM00028661",2003-12-08,21
"708","RSM00028661",2003-12-09,-46
"709","RSM00028661",2003-12-10,-54
"710","RSM00028661",2003-12-11,-138
"711","RSM00028661",2003-12-12,-106
"712","RSM00028661",2003-12-13,-85
"713","RSM00028661",2003-12-14,-56
"714","RSM00028661",2003-12-15,-106
"715","RSM00028661",2003-12-16,-61
"716","RSM00028661",2003-12-17,-56
"717","RSM00028661",2003-12-18,-81
"718","RSM00028661",2003-12-19,-71
"719","RSM00028661",2003-12-20,-72
